title,author,description,isbn,image,available
Understanding Artificial Intelligence,"Albert Chun-Chen Liu, Oscar Ming Kin Law, Iain Law",Understanding Artificial Intelligence Provides students across majors with a clear and accessible overview of new artificial intelligence technologies and applications Artificial intelligence (AI) is broadly defined as computers programmed to simulate the cognitive functions of the human mind. In co.,9781119858331,http://books.google.com/books/content?id=bmeEEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Air Reserve Forces Review,Unknown Author,No description available.,ISBN-9884387491,http://books.google.com/books/content?id=3H6w8_-erEgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Foundations of Artificial Intelligence,David Kirsh,"In the 11 contributions, theorists historically associated with each position identify the basic tenets of their position.Have the classical methods and ideas of AI outlived their usefulness? Foundations of Artificial Intelligence critically evaluates the fundamental assumptions underpinning the dom.",0262610752,http://books.google.com/books/content?id=gHmayvQUS-0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Catalog of Copyright Entries. Third Series,Library of Congress. Copyright Office,No description available.,ISBN-7132110241,http://books.google.com/books/content?id=QUMhAQAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Artificial Intelligence,Neil Wilkins,"This book covers everything from machine learning to robotics and the internet of things. By the time you finish reading, you will be aware of what artificial neural networks are, how gradient descent and back propagation work, and what deep learning is.",1647481147,http://books.google.com/books/content?id=TbqUzAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Artificial Intelligence,James Hendrickson,"Learn Everything You Need to Know About Artificial Intelligence in This Book! Do you want to learn more about Artificial Intelligence and its impact to human society? Are you finding the traditional Artificial Intelligence textbooks difficult to read? ""Artificial Intelligence: Taking Over - How Will.",1979429421,http://books.google.com/books/content?id=4udgswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
That Book on AI and Machine Learning,"Bobby Timberlake, Jonathan B Morley","What does it mean for a computer to be ""intelligent?"" How do machines ""learn"" without instruction from humans? What can be achieved? These are not new questions, but after decades of evolutionary improvements, the field of Artificial Intelligence has taken huge leaps forward. What makes this cycle o.",1793145148,http://books.google.com/books/content?id=JyAxzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Artificial Intelligence for Everyone,Steven Finlay,"Artificial Intelligence (AI) is everywhere these days. Barely a day goes by without the media reporting some wonderful new application of this marvellous technology and how it's changing our lives forever. But how are things changing, where and in what ways? Artificial Intelligence for Everyone prov.",1999325311,http://books.google.com/books/content?id=ZzFRzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Book-prices Current,Unknown Author,No description available.,ISBN-9595543821,http://books.google.com/books/content?id=qR5LAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
The AI Workshop,Milo Foster,"Curious about AI but don't know where to start? This comprehensive AI for Beginners guide gives you the tools, confidence, and guidance to use AI in your everyday life...no tech skills needed.The AI Workshop: The Complete Beginner's Guide to AI is the step-by-step companion for anyone who wants to u.",1967210020,http://books.google.com/books/content?id=zn5X0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Bookseller & Stationer and Office Equipment Journal,Unknown Author,No description available.,ISBN-3449837723,http://books.google.com/books/content?id=noJQAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Topical Reference Books,Marion Sader,"Like the other titles in Bowkers's Buying Guide series, it will be extremely useful... Booklist Topical Reference Books selects and recommends today's best specialized reference books. It gives librarians and teachers the help they need to make sound choices in a wide range of subject areas. It prov.",ISBN-3939599325,http://books.google.com/books/content?id=0EXhAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
The American Short-horn Herd Book,"Lewis Falley Allen, William T. Bailey",No description available.,ISBN-6189835004,http://books.google.com/books/content?id=hs42AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Lives of saints from the Book of Lismore,Whitley Stokes,No description available.,ISBN-4745015103,http://books.google.com/books/content?id=sBgMAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Library Journal,"Melvil Dewey, Richard Rogers Bowker, L. Pylodet, Charles Ammi Cutter, Bertine Emma Weston, Karl Brow","Includes, beginning Sept. 15, 1954 (and on the 15th of each month, Sept.-May) a special section: School library journal, ISSN 0000-0035, (called Junior libraries, 1954-May 1961). Also issued separately.",ISBN-4992953575,http://books.google.com/books/content?id=ggcCAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
"Supplement No.2 to the Alphabetical Finding List of the Free Public Library of Jersey City, N.J. Jan. 1893",Free Public Library of Jersey City,No description available.,ISBN-8406572553,http://books.google.com/books/content?id=n-EQAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
British Books in Print,Unknown Author,No description available.,ISBN-3732687496,http://books.google.com/books/content?id=3xgPAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
"The Complete Cost-keeper; Some Original Systems of Shop Cost-keeping Or Factory Accounting, Together with an Exposition of the Advantages of Account Keeping by Means of Cards Instead of Books",Horace Lucian Arnold,No description available.,ISBN-8403281943,http://books.google.com/books/content?id=Qu5CAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Book Auction Records,Frank Karslake,A priced and annotated annual record of international book auctions.,ISBN-7918935734,http://books.google.com/books/content?id=-OVgAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Brotherhood of Locomotive Firemen's Magazine,Unknown Author,No description available.,ISBN-3032408668,http://books.google.com/books/content?id=g5GbAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Engaged Buddhism,Bharati Puri,"On the teachings of Bstan-'dzin-rgya-mtsho, Dalai Lama XIV, b. 1935.",ISBN-1612698051,http://books.google.com/books/content?id=FmnYAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Artificial Intelligence (AI),S. Kanimozhi Suguna,"""This book aims to bring together leading academic scientists, researchers, and research scholars to exchange and share their experiences and research results on all aspects of Artificial Intelligence. The book provides a premier interdisciplinary platform to present practical challenges and adopted.",1003005624,http://books.google.com/books/content?id=AFU0zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Ai written by Ai,Artificial Intelligence Ai,"this is a book introducing artificial intelligence, written by artificial intelligence itself. Everything inside and outside this book (bookcover) was made by Ai. This book is composed by 10 chapters (from chapter 0 to 9).",9798343148831,http://books.google.com/books/content?id=Ptfv0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Official Gazette of the United States Patent and Trademark Office,Unknown Author,No description available.,ISBN-4973383972,http://books.google.com/books/content?id=yPFUMeGY_3EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Artificial Intelligence,Alan Dix,"This new edition expands and revises the book throughout, with new material added to existing chapters, including short case studies, as well as adding new chapters on explainable AI, and big data.",0367515989,http://books.google.com/books/content?id=mnHb0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
The Application of Artificial Intelligence,Zoltán Somogyi,"This book presents a unique, understandable view of machine learning using many practical examples and access to free professional software and open source code. The user-friendly software can immediately be used to apply everything you learn in the book without the need for programming. After an in.",3030600319,http://books.google.com/books/content?id=SWDBzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
AI Titans: Leading Nations and Their Artificial Intelligence Innovations,AI GURU,"AI Titans: Leading Nations and Their Artificial Intelligence Innovations Discover the world of Artificial Intelligence through the lens of the top 10 countries revolutionizing the industry! Packed with real-life stories, captivating illustrations, and practical examples, this book is your ultimate g.",ISBN-6942269607,http://books.google.com/books/content?id=Yo1IEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
The Year-book of Wireless Telegraphy & Telephony,Unknown Author,"Includes ""Literature"".",ISBN-5559528722,http://books.google.com/books/content?id=T-pfAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Catalogue of Printed Books,British Museum. Department of Printed Books,No description available.,ISBN-5768570859,http://books.google.com/books/content?id=of9PAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Learn AI From AI,Ai Agi,"Learn AI with AI: Your Ultimate Guide is an insightful and comprehensive resource designed to teach Artificial Intelligence (AI) from an AI-driven perspective. Authored by AI, this book explores the fundamental principles, practical applications, and advanced strategies for leveraging AI across vari.",9798309785322,http://books.google.com/books/content?id=WDUv0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Hand-book of Modern Steam Fire-engines,Stephen Roper,No description available.,ISBN-9259880900,http://books.google.com/books/content?id=UC7NOsJ9FfsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
"Smithsonian Institution, Bureau of Ethnology",Unknown Author,No description available.,ISBN-7220361217,http://books.google.com/books/content?id=1sAEAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Red Book,Unknown Author,No description available.,ISBN-8737076349,http://books.google.com/books/content?id=doRyir0_y4oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
The Air Force Blue Book,Tom Compere,No description available.,ISBN-8820379578,http://books.google.com/books/content?id=iZ1usq3QMo4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Year-book,American Institute of Electrical Engineers,No description available.,ISBN-5467807186,http://books.google.com/books/content?id=FWtbAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
AI for Absolute Beginners,Oliver Theobald,"Curious about AI but feeling lost at the same time? Well, look no further! AI for Absolute Beginners is your guide to demystifying complex AI concepts and providing you with a solid foundation to step into and stay ahead in the new AI era.In this accessible and comprehensive book, we start from scra.",191366628X,http://books.google.com/books/content?id=f7QH0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
The suggestive word-building and spelling-book,Suggestive word-building and spelling-book,No description available.,ISBN-3815469857,http://books.google.com/books/content?id=2mvIocMZNOAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
The China Christian Year Book,"Edwin Carlyle Lobenstein, Abbe Livingston Warnshuis, Frank Joseph Rawlinson, Henry Theodore Hodgkin",No description available.,ISBN-8086939448,http://books.google.com/books/content?id=edDdtToePwAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Cowdery's New Book of Forms,Jabez Franklin Cowdery,No description available.,ISBN-8486346543,http://books.google.com/books/content?id=tlX5AAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
A Text-book of Botany and Pharmacognosy,Henry Kraemer,No description available.,ISBN-9035944418,http://books.google.com/books/content?id=T1oAAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
A College Text-book of Chemistry,Ira Remsen,No description available.,ISBN-8736656214,http://books.google.com/books/content?id=eZ0-AAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
The Hibernian Sunday School Hymn Book,Arthur BARNWELL,No description available.,ISBN-6354893971,http://books.google.com/books/content?id=2sJVAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
A First Book in Physiology,Worthington Hooker,No description available.,ISBN-6616761606,http://books.google.com/books/content?id=8VcAAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Year-book,American Institute of Electrical Engineers,No description available.,ISBN-7395521409,http://books.google.com/books/content?id=FWtbAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Learn AI From AI,Ai Agi,"Learn AI with AI: Your Ultimate Guide is an insightful and comprehensive resource designed to teach Artificial Intelligence (AI) from an AI-driven perspective. Authored by AI, this book explores the fundamental principles, practical applications, and advanced strategies for leveraging AI across vari.",9798309785322,http://books.google.com/books/content?id=WDUv0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
The suggestive word-building and spelling-book,Suggestive word-building and spelling-book,No description available.,ISBN-4567301692,http://books.google.com/books/content?id=2mvIocMZNOAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
The China Christian Year Book,"Edwin Carlyle Lobenstein, Abbe Livingston Warnshuis, Frank Joseph Rawlinson, Henry Theodore Hodgkin",No description available.,ISBN-8425815743,http://books.google.com/books/content?id=edDdtToePwAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Cowdery's New Book of Forms,Jabez Franklin Cowdery,No description available.,ISBN-9111651720,http://books.google.com/books/content?id=tlX5AAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
A Text-book of Botany and Pharmacognosy,Henry Kraemer,No description available.,ISBN-4710292924,http://books.google.com/books/content?id=T1oAAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
A College Text-book of Chemistry,Ira Remsen,No description available.,ISBN-1909937562,http://books.google.com/books/content?id=eZ0-AAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
The Hibernian Sunday School Hymn Book,Arthur BARNWELL,No description available.,ISBN-7867388633,http://books.google.com/books/content?id=2sJVAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
A First Book in Physiology,Worthington Hooker,No description available.,ISBN-9363901169,http://books.google.com/books/content?id=8VcAAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
"The Book of the Prophet Isaiah, Chapters I-XXXIX",Unknown Author,No description available.,ISBN-8363340261,http://books.google.com/books/content?id=AmZbAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
The parliamentary poll book of all elections from ... 1832,Frederick Haynes McCalmont,No description available.,ISBN-2917901103,http://books.google.com/books/content?id=d-HYYMi6pFcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
A Path to Freedom in the School,Norman MacMunn,No description available.,ISBN-3974485640,http://books.google.com/books/content?id=sCMnAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
"The Children's Nursery Picture Book of Old Favourite Stories, Etc",Children,No description available.,ISBN-8839683121,http://books.google.com/books/content?id=jID_RE5Yy9QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Text-book of Physics,Charles Elijah Linebarger,No description available.,ISBN-7604998205,http://books.google.com/books/content?id=yzgAAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
"New Hampshire Register, Year Book and Business Directory",Unknown Author,No description available.,ISBN-3043470462,http://books.google.com/books/content?id=tfsWAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Annual Report of the Board of Regents of the Smithsonian Institution,Smithsonian Institution. Board of Regents,No description available.,ISBN-2761111325,http://books.google.com/books/content?id=gNIWAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Principles of Artificial Intelligence,Nils J. Nilsson,"A classic introduction to artificial intelligence intended to bridge the gap between theory and practice, Principles of Artificial Intelligence describes fundamental AI ideas that underlie applications such as natural language processing, automatic programming, robotics, machine vision, automatic th.",ISBN-2976684992,http://books.google.com/books/content?id=F3VFAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Hand-book of physiology,William Senhouse Kirkes,No description available.,ISBN-7031030439,http://books.google.com/books/content?id=XxMVckAc4BkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Dr. Chase's Home Adviser and Every Day Reference Book,Alvin Wood Chase,No description available.,ISBN-9894342606,http://books.google.com/books/content?id=PJ5EAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Advanced Analytics and AI,Tony Boobier,"Be prepared for the arrival of automated decision making Once thought of as science fiction, major corporations are already beginning to use cognitive systems to assist in providing wealth advice and also in medication treatment. The use of Cognitive Analytics/Artificial Intelligence (AI) Systems is.",9781119390305,http://books.google.com/books/content?id=Z6RUDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
AI Unveiled: A Beginner’s Guide for Artificial Intelligence,Dizzy Davidson,"Ever wondered what AI really is? Struggling to grasp the basics of artificial intelligence and automation? You’re not alone, and the good news is, this book is here to help. “AI Unveiled: A Beginner’s Guide for Artificial Intelligence” is your essential starting point for understanding the fascinati.",ISBN-5904426601,http://books.google.com/books/content?id=5UsgEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Municipal Engineering,Unknown Author,No description available.,ISBN-3835049103,http://books.google.com/books/content?id=YbBqtM4I3XcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Water & Sewage Works,Unknown Author,"Vols. 76 , 83-93 include Reference and data section for 1929 , 1936-46 (1929- called Water works and sewerage data section).",ISBN-9153299840,http://books.google.com/books/content?id=e_bNAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Artificial Intelligence,"RICHARD E.. JIANG NEAPOLITAN (XIA.), Xia Jiang","The first edition of this popular textbook, Contemporary Artificial Intelligence, provided an accessible and student friendly introduction to AI. This fully revised and expanded update retains the same accessibility and problem-solving approach, while providing new material and methods, including ne.",0367571641,http://books.google.com/books/content?id=AXCUzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
The Life and Letters of Lord Macaulay,George Otto Trevelyan,No description available.,ISBN-9336586684,http://books.google.com/books/content?id=ROkQAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
A Text-book of the Science and Art of Obstetrics,Henry Jacques Garrigues,No description available.,ISBN-1747318083,http://books.google.com/books/content?id=4x01AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Artificial Intelligence a Modern Approach,"Geoffrey bengio, Yoshua Hinton","""Buy the paperback version of this book and get the kindle book version for free"" you know what it is and where we are with AI? where can we arrive? should we be afraid of artificial intelligence? The capabilities of artificial intelligence have fascinated human beings for decades. Advancements in t.",1072943786,http://books.google.com/books/content?id=2P9_xgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
The popular educator,Popular educator,No description available.,ISBN-5090988252,http://books.google.com/books/content?id=nzACAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
AI for Absolute Beginners,Oliver Theobald,"Curious about AI but feeling lost at the same time? Well, look no further! AI for Absolute Beginners is your guide to demystifying complex AI concepts and providing you with a solid foundation to step into and stay ahead in the new AI era.In this accessible and comprehensive book, we start from scra.",191366628X,http://books.google.com/books/content?id=f7QH0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Locomotive Engineers Journal,Unknown Author,No description available.,ISBN-3951130983,http://books.google.com/books/content?id=whtJAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Catalogue of the Officers and Graduates of Yale University,Yale University,No description available.,ISBN-5214890778,http://books.google.com/books/content?id=qDIXAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Naval Architect's & Shipbuilder's Pocket-book ...,Clement Mackrow,No description available.,ISBN-8548346877,http://books.google.com/books/content?id=e51EAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Ai written by Ai,Artificial Intelligence Ai,"this is a book introducing artificial intelligence, written by artificial intelligence itself. Everything inside and outside this book (bookcover) was made by Ai. This book is composed by 10 chapters (from chapter 0 to 9).",9798343148831,http://books.google.com/books/content?id=Ptfv0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
The Publishers Weekly,Unknown Author,No description available.,ISBN-5380123963,http://books.google.com/books/content?id=VyEDAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Blue Book for the Colony of Natal,Natal (South Africa),No description available.,ISBN-7729139109,http://books.google.com/books/content?id=ysU1AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
The Ophthalmic Year-book,Unknown Author,A digest of the literature of ophthalmology with index of publications for the year ...,ISBN-7456254047,http://books.google.com/books/content?id=IKzwjQO3QSUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
The Halcyon song-book,Unknown Author,No description available.,ISBN-5164026718,http://books.google.com/books/content?id=fkw0AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
AI in Data Science: Transforming Data into Knowledge,AI GURU,"AI in Data Science: Transforming Data into Knowledge Dive into the captivating world of artificial intelligence with this comprehensive guide, ""AI in Data Science: Unlocking the Future."" This book takes you on a journey from the foundational concepts of AI and data science to the cutting-edge techno.",ISBN-3451332675,http://books.google.com/books/content?id=XpFIEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
A First Book in Geology. Designed for the Use of Beginners,Nathaniel Southgate Shaler,No description available.,ISBN-6982574584,http://books.google.com/books/content?id=TZctAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
A Text-book of Marine Engineering,Albert Edward Tompkins,No description available.,ISBN-8418890898,http://books.google.com/books/content?id=_xtEAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Catalogue of the Illinois State Library,Illinois State Library,No description available.,ISBN-8491856937,http://books.google.com/books/content?id=fKgrAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
A Text-book of Botany for Secondary Schools,John Merle Coulter,No description available.,ISBN-8877990971,http://books.google.com/books/content?id=KIVBAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Dau's Blue Book for Detroit and Suburban Towns ...,Unknown Author,No description available.,ISBN-1651513010,http://books.google.com/books/content?id=v63hAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
On Early English Pronunciation,Alexander John Ellis,No description available.,ISBN-5332070428,http://books.google.com/books/content?id=oqxiAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
The American Catalogue,Unknown Author,No description available.,ISBN-5324526883,http://books.google.com/books/content?id=0J37ohaqseIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
A Text-book of Botany,Eduard Strasburger,No description available.,ISBN-2729291160,http://books.google.com/books/content?id=PwRVAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
AI Wrote This Book,Baxter Brown,"AI Wrote This Book: The Past, Present, and Future of Artificial Intelligence (According to AI) Are you ready to dive into the fascinating world of artificial intelligence? Whether you're an AI enthusiast, a tech professional, or simply curious about the future, ""AI Wrote This Book"" is your ultimate .",9798332785665,http://books.google.com/books/content?id=MtTS0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
"Catalogue of the Illinois state library. W.H. Hinrichsen, librarian","Springfield Ill, Illinois state libr",No description available.,ISBN-1949757026,http://books.google.com/books/content?id=g1CddtRdfF0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
The Constitutional Year Book,Unknown Author,No description available.,ISBN-9296801579,http://books.google.com/books/content?id=XzcbAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
"Sepher Yetzirah, the Book of Formation, and the Thirty Two Paths of Wisdom",Unknown Author,No description available.,ISBN-1425400451,http://books.google.com/books/content?id=6a8ZQsF--2wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Text-book of normal histology: including an account of the development of the tissues and of the organs,George Arthur Piersol,No description available.,ISBN-2633569356,http://books.google.com/books/content?id=x13V96VdBWEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Artificial Intelligence for Business,"Jeffrey L. Coveyduc, Jason L. Anderson",Artificial Intelligence for Business: A Roadmap for Getting Started with AI will provide the reader with an easy to understand roadmap for how to take an organization through the adoption of AI technology. It will first help with the identification of which business problems and opportunities are ri.,9781119651802,http://books.google.com/books/content?id=FSvfDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Trade Circular and Publishers' Bulletin,Unknown Author,No description available.,ISBN-1310994355,http://books.google.com/books/content?id=iByD4vOB8AYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
"A Year-book of Therapeutics, Pharmacy & Allied Sciences",Unknown Author,No description available.,ISBN-8923024330,http://books.google.com/books/content?id=FJ4DAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
The Handbook of Artificial Intelligence,Unknown Author,No description available.,ISBN-1484957027,,True
The New Century Home Book,Frank A. De Puy,No description available.,ISBN-8104523949,http://books.google.com/books/content?id=8FYEAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
"Medical phrase book in Hindustānī, English, French and Spanish",John Franks Chittenden,No description available.,ISBN-1134761446,http://books.google.com/books/content?id=TvKVXRJegX4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
"Catalog of Copyright Entries. Part 1. [B] Group 2. Pamphlets, Etc. New Series",Library of Congress. Copyright Office,No description available.,ISBN-6175851841,http://books.google.com/books/content?id=ClkcAQAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Air Conditioning Refrigerating Data Book,Unknown Author,No description available.,ISBN-5895766555,http://books.google.com/books/content?id=sJjFqcLtvIUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Flight,Unknown Author,No description available.,ISBN-7985809410,http://books.google.com/books/content?id=m4VMAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Mastering AI,Jeremy Kahn,"An urgent book on generative artificial intelligence exploring the risk and benefits looming in this seminal moment 'Easily the best exploration to date on the perils and promise of AI."" —ASHLEE VANCE author of When the Heavens Went on Sale 'Mastering AI is a must-read. It's hard to put down'. —BETH.",9781835010440,http://books.google.com/books/content?id=y8_sEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
An Intuitive Exploration of Artificial Intelligence,Simant Dube,"This book develops a conceptual understanding of Artificial Intelligence (AI), Deep Learning and Machine Learning in the truest sense of the word. It is an earnest endeavor to unravel what is happening at the algorithmic level, to grasp how applications are being built and to show the long adventuro.",9783030686246,http://books.google.com/books/content?id=OVw0EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
The Academy and Literature,Unknown Author,No description available.,ISBN-2065836580,http://books.google.com/books/content?id=Cs82AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Annual Statement of the Foreign Sea and Air-Borne Trade of India,India. Department of Commercial Intelligence and Statistics,No description available.,ISBN-3593527992,http://books.google.com/books/content?id=il0_AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
"A Catalog of Books Represented by Library of Congress Printed Cards Issued to July 31, 1942",Unknown Author,No description available.,ISBN-4066356640,http://books.google.com/books/content?id=v8mtXrWfh0QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Canada music book,Unknown Author,No description available.,ISBN-8125689211,http://books.google.com/books/content?id=7C03AAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Dictionary Catalogue of the Illinois State Library,Illinois State Library,No description available.,ISBN-6078656209,http://books.google.com/books/content?id=aqzBXni4jvEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
